lake_name,sampling_date,gps_coordinates_utm,latitude,longitude,sample_depth_m,chlorophyll_concentration_ug/L,pheophytin_concentration_ug/L,total_chlorophyll_pheophytin_ug/L,sample_volume_L,percent_filtered,chlorophyll_665nm_absorbancy,chlorophyll_750nm_absorbancy,pheophytin_665nm_absorbancy,pheophytin_750nm_absorbancy,notes
Devonian,2016-Jul-14,14U 0627523 5520102,49.81979,-97.22719,0,61,0,61,0.3,100,0.259,0.016,0.15,0.011,
Lake 3,2016-Jul-14,14U 0627538 5519851,49.81753,-97.22706,0,60,6,66,0.4,100,0.433,0.036,0.281,0.021,
Lake 2,2016-Jul-14,14U 0627580 5519673,49.81592,-97.22654,0,24,0,24,0.5,100,0.196,0.03,0.114,0.016,
Muir,2016-Jul-14,14U 0627940 5519722,49.81629,-97.22152,0,35,0,35,0.14,100,0.084,0.015,0.048,0.007,
Cargill,2016-Jul-14,14U 0628021 5520791,49.82588,-97.22004,0,104,0,104,0.4,100,0.74,0.199,0.388,0.082,
Devonian,2016-Aug-18,14U 0627523 5520102,49.81979,-97.22719,0,99,0,99,0.3,100,0.489,0.092,0.257,0.029,
Lake 3,2016-Aug-18,14U 0627538 5519851,49.81753,-97.22706,0,70,0,70,0.3,100,0.386,0.117,0.183,0.033,
Lake 2,2016-Aug-18,14U 0627580 5519673,49.81592,-97.22654,0,29,0,29,0.2,100,0.1,0.02,0.057,0.01,
Muir,2016-Aug-18,14U 0627940 5519722,49.81629,-97.22152,0,9,14,23,0.3,100,0.137,0.053,0.08,0.011,
Cargill,2016-Aug-18,14U 0628021 5520791,49.82588,-97.22004,0,133,0,133,0.4,100,1.078,0.395,0.479,0.098,
Devonian,2016-Sep-13,14U 0627523 5520102,49.81979,-97.22719,0,137,0,137,0.3,100,0.775,0.255,0.366,0.079,
Lake 3,2016-Sep-13,14U 0627538 5519851,49.81753,-97.22706,0,105,0,105,0.2,100,0.385,0.09,0.205,0.029,
Lake 2,2016-Sep-13,14U 0627580 5519673,49.81592,-97.22654,0,51,0,51,0.4,100,0.369,0.067,0.206,0.02,
Muir,2016-Sep-13,14U 0627940 5519722,49.81629,-97.22152,0,23,0,23,0.4,100,0.148,0.018,0.088,0.01,
Cargill,2016-Sep-13,14U 0628021 5520791,49.82588,-97.22004,0,123,0,123,0.4,100,0.851,0.142,0.5,0.07,
Devonian,2016-Oct-14,14U 0627523 5520102,49.81979,-97.22719,0,70,0,70,0.4,100,0.576,0.196,0.251,0.03,
Lake 3,2016-Oct-14,14U 0627538 5519851,49.81753,-97.22706,0,69,0,69,0.38,100,0.573,0.254,0.234,0.064,
Lake 2,2016-Oct-14,14U 0627580 5519673,49.81592,-97.22654,0,76,0,76,0.3,100,0.462,0.138,0.221,0.026,
Muir,2016-Oct-14,14U 0627940 5519722,49.81629,-97.22152,0,42,1,43,0.34,100,0.258,0.035,0.164,0.022,
Cargill,2016-Oct-14,14U 0628021 5520791,49.82588,-97.22004,0,139,0,139,0.4,100,0.983,0.267,0.495,0.093,
Devonian,2016-Nov-16,14U 0627523 5520102,49.81979,-97.22719,0,30,3,33,0.4,100,0.257,0.062,0.146,0.019,
Lake 3,2016-Nov-16,14U 0627538 5519851,49.81753,-97.22706,0,29,0,29,0.44,100,0.248,0.059,0.135,0.019,
Lake 2,2016-Nov-16,14U 0627580 5519673,49.81592,-97.22654,0,44,0,44,0.33,100,0.262,0.061,0.141,0.022,
Muir,2016-Nov-16,14U 0627940 5519722,49.81629,-97.22152,0,59,11,70,0.33,100,0.354,0.015,0.238,0.01,
Cargill,2016-Nov-16,14U 0628021 5520791,49.82588,-97.22004,0,90,0,90,0.44,100,0.76,0.202,0.423,0.088,
Devonian,2017-Jan-22,14U 0627523 5520102,49.81979,-97.22719,0,0,3,4,0.4,100,0.027,0.011,0.025,0.01,
Lake 3,2017-Jan-22,14U 0627538 5519851,49.81753,-97.22706,0,1,3,4,0.4,100,0.027,0.008,0.024,0.008,
Lake 2,2017-Jan-22,14U 0627580 5519673,49.81592,-97.22654,0,15,0,15,0.4,100,0.111,0.02,0.072,0.016,
Muir,2017-Jan-22,14U 0627940 5519722,49.81629,-97.22152,0,8,4,11,0.4,100,0.073,0.011,0.058,0.013,
Cargill,2017-Jan-22,14U 0628021 5520791,49.82588,-97.22004,0,67,0,67,0.2,100,0.245,0.073,0.143,0.047,
Devonian,2017-Feb-17,14U 0627523 5520102,49.81979,-97.22719,0,0,2,2,0.4,100,0.024,0.014,0.025,0.015,
Lake 3,2017-Feb-17,14U 0627538 5519851,49.81753,-97.22706,0,12,0,12,0.3,100,0.063,0.014,0.04,0.012,
Lake 2,2017-Feb-17,14U 0627580 5519673,49.81592,-97.22654,0,27,0,27,0.3,100,0.113,0.016,0.063,0.012,
Muir,2017-Feb-17,14U 0627940 5519722,49.81629,-97.22152,0,10,0,10,0.5,100,0.065,0.013,0.04,0.015,
Cargill,2017-Feb-17,14U 0628021 5520791,49.82588,-97.22004,0,74,0,74,0.3,100,0.255,0.015,0.136,0.022,
Devonian,2017-Mar-17,14U 0627523 5520102,49.81979,-97.22719,0,18,0,18,0.4,100,0.083,0.018,0.053,0.028,
Lake 3,2017-Mar-17,14U 0627538 5519851,49.81753,-97.22706,0,23,0,23,0.4,100,0.124,0.02,0.068,0.017,
Lake 2,2017-Mar-17,14U 0627580 5519673,49.81592,-97.22654,0,53,0,53,0.4,100,0.32,0.015,0.195,0.011,
Muir,2017-Mar-17,14U 0627940 5519722,49.81629,-97.22152,0,14,0,14,0.4,100,0.081,0.008,0.051,0.009,
Cargill,2017-Mar-17,14U 0628021 5520791,49.82588,-97.22004,0,52,0,52,0.4,100,0.264,0.029,0.14,0.022,
Devonian,2017-Apr-19,14U 0627523 5520102,49.81979,-97.22719,0,86,0,86,0.2,100,0.247,0.013,0.146,0.009,
Lake 3,2017-Apr-19,14U 0627538 5519851,49.81753,-97.22706,0,106,0,106,0.2,100,0.324,0.028,0.202,0.026,
Lake 2,2017-Apr-19,14U 0627580 5519673,49.81592,-97.22654,0,98,0,98,0.2,100,0.299,0.019,0.18,0.011,
Muir,2017-Apr-19,14U 0627940 5519722,49.81629,-97.22152,0,26,13,40,0.3,100,0.171,0.009,0.125,0.008,
Cargill,2017-Apr-19,14U 0628021 5520791,49.82588,-97.22004,0,60,0,60,0.2,100,0.201,0.033,0.121,0.021,
Devonian,2017-May-17,14U 0627523 5520102,49.81979,-97.22719,0,45,0,45,0.2,100,0.153,0.014,0.1,0.012,
Lake 3,2017-May-17,14U 0627538 5519851,49.81753,-97.22706,0,49,0,49,0.2,100,0.159,0.014,0.103,0.014,
Lake 2,2017-May-17,14U 0627580 5519673,49.81592,-97.22654,0,103,0,103,0.19,100,0.288,0.012,0.182,0.017,
Muir,2017-May-17,14U 0627940 5519722,49.81629,-97.22152,0,17,0,17,0.2,100,0.058,0.016,0.036,0.013,
Cargill,2017-May-17,14U 0628021 5520791,49.82588,-97.22004,0,72,0,72,0.2,100,0.228,0.077,0.102,0.033,
Devonian,2017-May-17,14U 0627523 5520102,49.81979,-97.22719,6,32,0,32,0.2,100,0.089,0.004,0.06,0.011,
Lake 3,2017-May-17,14U 0627538 5519851,49.81753,-97.22706,5,20,4,24,0.2,100,0.078,0.008,0.062,0.015,
Lake 2,2017-May-17,14U 0627580 5519673,49.81592,-97.22654,7,33,0,33,0.2,100,0.098,0.014,0.059,0.012,
Muir,2017-May-17,14U 0627940 5519722,49.81629,-97.22152,7,26,7,33,0.2,100,0.102,0.009,0.07,0.006,
Cargill,2017-May-17,14U 0628021 5520791,49.82588,-97.22004,7,26,4,30,0.2,100,0.117,0.028,0.079,0.02,
